EvaluationIndex,LevelIndex,Score,LevelStatus
386,568,25560,Fail
387,1168,24640,Fail
388,724,61040,Fail
389,1169,41110,Fail
390,55,30100,Fail
391,550,34960,Fail
392,952,26480,Fail
393,16,16710,Fail
394,687,5090,Fail
395,1164,10310,Fail
396,1250,20410,Fail
397,966,11960,Fail
398,240,33630,Pass
399,478,67760,Pass
400,1171,7160,Fail
401,829,800,Fail
402,21,23030,Fail
403,1295,23200,Fail
404,490,39960,Pass
405,703,27570,Fail
406,129,59550,Pass
407,1011,30770,Fail
408,571,12070,Fail
409,1167,34250,Fail
410,677,25170,Fail
411,644,15390,Fail
412,595,28410,Fail
413,1234,8810,Fail
414,1287,27100,Fail
415,873,12850,Fail
416,1155,31020,Fail
417,76,20060,Fail
418,951,17360,Fail
419,618,66240,Pass
420,662,11690,Fail
421,961,66860,Pass
422,967,21770,Fail
423,871,15890,Fail
424,49,17850,Fail
425,1024,27220,Fail
426,529,27290,Fail
427,1116,13030,Fail
428,339,14700,Fail
429,261,19890,Pass
430,122,33170,Fail
431,1,12380,Fail
432,367,12400,Fail
433,448,2900,Fail
434,1093,12580,Fail
435,981,11360,Fail
436,87,24340,Fail
437,920,21880,Fail
438,200,38040,Pass
439,843,29590,Fail
440,574,5850,Fail
441,1042,17670,Fail
442,729,63940,Pass
443,936,15860,Fail
444,611,8730,Fail
445,1040,14970,Fail
446,14,58850,Fail
447,561,2240,Fail
448,772,73680,Pass
449,65,26100,Fail
450,1299,53920,Pass
451,216,9530,Pass
452,859,1500,Fail
453,562,39310,Fail
454,521,17090,Fail
455,1167,29260,Fail
456,963,12230,Fail
457,1228,14550,Fail
458,958,2800,Fail
459,533,45540,Fail
460,440,10310,Fail
461,570,54370,Pass
462,1085,56470,Fail
463,489,29390,Fail
464,1174,18220,Fail
465,767,35010,Fail
466,978,27600,Fail
467,833,27410,Fail
468,904,10860,Fail
469,407,45140,Fail
470,667,14720,Fail
471,933,39050,Pass
472,1156,24350,Fail
473,1159,37350,Fail
474,1251,20700,Fail
475,1076,20170,Fail
476,1214,15280,Fail
477,663,18640,Fail
478,299,26670,Pass
479,780,78540,Pass
480,787,37740,Fail
481,36,15830,Fail
482,216,13680,Pass
483,520,15380,Fail
484,290,25260,Pass
485,450,11410,Fail
486,610,16720,Fail
487,1143,45300,Fail
488,1079,22480,Fail
489,453,41760,Pass
490,647,28560,Fail
491,209,25480,Pass
492,1199,20980,Fail
493,746,51900,Pass
494,211,20240,Pass
495,585,3000,Fail
496,492,46510,Fail
497,892,33760,Fail
498,244,41890,Pass
499,52,31570,Fail
500,1156,20600,Fail
501,645,25060,Fail
502,1271,6800,Fail
503,101,43630,Fail
504,992,35250,Fail
505,929,17760,Fail
506,670,19000,Fail
507,1083,22160,Fail
508,1130,26740,Fail
509,81,26730,Fail
510,664,48840,Fail
511,40,18280,Fail
512,736,34020,Fail
513,705,50760,Fail
514,961,67110,Pass
515,258,21860,Pass
516,754,12550,Fail
517,793,46150,Fail
518,394,29230,Pass
519,328,2170,Fail
520,987,5930,Fail
521,430,43680,Fail
522,639,44490,Fail
523,902,22380,Fail
524,625,32560,Fail
525,498,1480,Fail
526,216,13630,Pass
527,135,35240,Pass
528,870,25730,Fail
529,1104,26540,Fail
530,760,52720,Pass
531,1150,11070,Fail
532,210,20970,Pass
533,330,17310,Pass
534,939,1410,Fail
535,284,41780,Pass
536,47,30600,Fail
537,161,23830,Fail
538,272,21560,Pass
539,908,17140,Fail
540,660,1410,Fail
541,943,32450,Pass
